Policy:,waste - methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
200,250,16984022147,17933273051,18882523955,19831774860,20781025764,21730276669,22776345454,23822414239,24868483025,25914551810,26960620596,24625191107,22289761618,19954332129,17618902640,15283473151,12235247261,9187021372,6138795483,3090569594,42343704.44,38181221.36,34018738.28,29856255.21,25693772.13,21531289.06,22454282.35,23377275.63,24300268.92,25223262.21,26146255.5,25243494.21,24340732.92,23437971.63,22535210.34,21632449.05
250,300,41361175.16,40352898.21,39344621.27,38336344.32,37328067.37,36319790.43,34960043.7,33600296.97,32240550.23,30880803.5,29521056.77,28261492.25,27001927.72,25742363.2,24482798.67,23223234.15,23279517.23,23335800.32,23392083.4,23448366.48,23504649.57,23491305.81,23477962.05,23464618.29,23451274.53,23437930.77,22678236.86,21918542.94,21158849.03,20399155.11,19639461.19,19312538.36,18985615.52,18658692.68,18331769.84,18004847
300,350,30074181.15,30301810.47,30529439.79,30757069.11,30984698.42,31212327.74,27881222.38,24550117.01,21219011.65,17887906.28,14556800.92,15434135.11,16311469.3,17188803.49,18066137.68,18943471.88,18273220.81,17602969.75,16932718.68,16262467.62,15592216.55,14327433.13,13062649.71,11797866.28,10533082.86,9268299.435,3864954107,7720639915,11576325723,15432011530,19287697338,19210623425,19133549511,19056475598,18979401684,18902327771
350,400,15019176.92,15240191.44,15461205.96,15682220.49,15903235.01,16124249.53,3243840380,6471556510,9699272641,12926988771,16154704901,16841344966,17527985032,18214625097,18901265162,19587905228,19603665714,19619426201,19635186688,19650947175,19666707662,21383081053,23099454444,24815827836,26532201227,28248574618,24314656674,20380738729,16446820784,12512902839,8578984894,8544246047,8509507199,8474768352,8440029504,8405290657
400,450,11194345.68,2609238111,5207281876,7805325641,10403369406,13001413171,11838594356,10675775540,9512956725,8350137909,7187319094,7491114371,7794909648,8098704925,8402500202,8706295479,8713106863,8719918247,8726729630,8733541014,8740352397,6992562696,5244772995,3496983294,1749193592,1403891.218,1694740.281,1985589.343,2276438.405,2567287.467,2858136.529,2782961.359,2707786.188,2632611.017,2557435.847,2482260.676
450,500,10154031564,9279502819,8404974073,7530445328,6655916583,5781387838,4625513985,3469640132,2313766279,1157892426,2018573.582,1852446.338,1686319.094,1520191.85,1354064.607,1187937.363,1394844.681,1601752,1808659.319,2015566.637,2222473.956,2634203.918,3045933.88,3457663.842,3869393.804,4281123.767,3766847.1,3252570.433,2738293.766,2224017.1,1709740.433,1493026.174,1276311.915,1059597.656,842883.3969,626169.1379
500,550,4511150998,3609683737,2708216476,1806749215,905281954.1,3814693.009,3378009.473,2941325.936,2504642.399,2067958.862,1631275.325,2047537.069,2463798.813,2880060.558,3296322.302,3712584.046,3768498.849,3824413.652,3880328.455,3936243.257,3992158.06,3553105.275,3114052.489,2674999.703,2235946.918,1796894.132,1688852.7,1580811.268,1472769.836,1364728.404,1256686.971,1241133.833,1225580.695,1210027.557,1194474.419,1178921.281
550,600,1889464.841,1901796.983,1914129.126,1926461.269,1938793.412,1951125.554,2497021.707,3042917.859,3588814.012,4134710.164,4680606.317,4395617.64,4110628.963,3825640.286,3540651.609,3255662.932,3256316.546,3256970.16,3257623.774,3258277.388,3258931.002,3055215.819,2851500.636,2647785.453,2444070.27,2240355.087,2045474.994,1850594.9,1655714.807,1460834.713,1265954.619,1246032.87,1226111.122,1206189.373,1186267.624,1166345.875
600,650,1304798.943,1679523.502,2054248.061,2428972.621,2803697.18,3178421.739,3132752.511,3087083.282,3041414.054,2995744.826,2950075.597,2820563.566,2691051.534,2561539.503,2432027.472,2302515.441,2040485.597,1778455.753,1516425.909,1254396.065,992366.2212,802834.9306,613303.6401,423772.3495,234241.0589,44709.76833,185397.8148,326085.8612,466773.9077,607461.9542,748150.0006,822245.5733,896341.146,970436.7187,1044532.291,1118627.864
650,700,7316929.992,6859027.835,6401125.679,5943223.523,5485321.366,5027419.21,4386361.451,3745303.692,3104245.933,2463188.174,1822130.415,1801426.629,1780722.843,1760019.057,1739315.272,1718611.486,1562976.149,1407340.812,1251705.476,1096070.139,940434.802,1086367.786,1232300.77,1378233.753,1524166.737,1670099.721,1498099.346,1326098.97,1154098.595,982098.22,810097.8448,797191.6716,784285.4984,771379.3252,758473.152,745566.9788
